GEN,Genetic material,DH,GY,Red.flight01,Green.flight01,Blue.flight01,RedEdge.flight01,NIR.flight01,NDVI.flight01,GNDVI.flight01,NDRE.flight01,SAVI.flight01,SCCCI.flight01,EVI.flight01,MSAVI.flight01,Red.flight02,Green.flight02,Blue.flight02,RedEdge.flight02,NIR.flight02,NDVI.flight02,GNDVI.flight02,NDRE.flight02,SAVI.flight02,SCCCI.flight02,EVI.flight02,MSAVI.flight02,Red.flight03,Green.flight03,Blue.flight03,RedEdge.flight03,NIR.flight03,NDVI.flight03,GNDVI.flight03,NDRE.flight03,SAVI.flight03,SCCCI.flight03,EVI.flight03,MSAVI.flight03,Red.flight04,Green.flight04,Blue.flight04,RedEdge.flight04,NIR.flight04,NDVI.flight04,GNDVI.flight04,NDRE.flight04,SAVI.flight04,SCCCI.flight04,EVI.flight04,MSAVI.flight04,Red.flight05,Green.flight05,Blue.flight05,RedEdge.flight05,NIR.flight05,NDVI.flight05,GNDVI.flight05,NDRE.flight05,SAVI.flight05,SCCCI.flight05,EVI.flight05,MSAVI.flight05,Red.flight06,Green.flight06,Blue.flight06,RedEdge.flight06,NIR.flight06,NDVI.flight06,GNDVI.flight06,NDRE.flight06,SAVI.flight06,SCCCI.flight06,EVI.flight06,MSAVI.flight06,Red.flight07,Green.flight07,Blue.flight07,RedEdge.flight07,NIR.flight07,NDVI.flight07,GNDVI.flight07,NDRE.flight07,SAVI.flight07,SCCCI.flight07,EVI.flight07,MSAVI.flight07,Red.flight08,Green.flight08,Blue.flight08,RedEdge.flight08,NIR.flight08,NDVI.flight08,GNDVI.flight08,NDRE.flight08,SAVI.flight08,SCCCI.flight08,EVI.flight08,MSAVI.flight08,Red.flight09,Green.flight09,Blue.flight09,RedEdge.flight09,NIR.flight09,NDVI.flight09,GNDVI.flight09,NDRE.flight09,SAVI.flight09,SCCCI.flight09,EVI.flight09,MSAVI.flight09,Red.flight10,Green.flight10,Blue.flight10,RedEdge.flight10,NIR.flight10,NDVI.flight10,GNDVI.flight10,NDRE.flight10,SAVI.flight10,SCCCI.flight10,EVI.flight10,MSAVI.flight10
G1,Cultivars,58.5470088591284,5867.91815658805,791.286225152431,1763.74490169977,1757.88525032118,4977.71955509364,12852.4278986743,0.876289172397715,0.752823563811716,0.439820523971509,1.31438678040818,0.505110658744524,2.74627355281179,0.933471984965585,776.421855757322,1852.67654811907,1848.79788642965,5310.45904328294,16193.5482803314,0.904195492922248,0.792204652874984,0.50456862100254,1.3562521431277,0.56134536757668,2.19397042310012,0.949480276256467,486.76780472569,1284.02802648197,1286.57542051081,3770.88752045203,13549.6387547417,0.927974122445896,0.825503317333395,0.563488404016133,1.39191092365888,0.606320780597379,1.90617990573379,0.962510251233117,728.561519283904,1729.3264451746,1724.81163188105,4931.82460219626,17378.9417270452,0.91831380415881,0.820429021684734,0.559739765679774,1.37743158415222,0.611022245324822,1.82665679119699,0.957396270833701,733.997225310506,1590.0909542445,1593.16257440977,4934.88219750215,17630.9987107802,0.919569613965958,0.836201295434361,0.563695533910177,1.37931340546126,0.614354865496343,1.64923779408642,0.958098285787578,781.775454851959,1884.63170759667,1884.74635689793,5200.04633797761,19223.3913145949,0.924256484371555,0.825425544288132,0.581145883840089,1.38635093854201,0.628312279823944,1.84680591629664,0.96064902160323,909.732266570349,1890.46585757249,1891.4424242934,5377.15834057136,19948.8559452986,0.913425106801507,0.826793939732126,0.575980895265253,1.3701033921119,0.630313646294304,1.69867924774404,0.954742856530145,1179.98483552339,2140.78741659168,2151.59970076963,5637.05226470948,17996.5193782267,0.875293871668693,0.78609517382168,0.520850729472306,1.3129065994408,0.594946376154987,1.84971146774005,0.933497433232503,1981.66091508914,2734.08543145204,3015.68182775404,6951.00537335982,18670.8926967581,0.792433909432138,0.7297240184812,0.434442108155762,1.18862139163498,0.547378971459478,1.69624944778047,0.884175212283203,2530.41099506222,2830.86682519386,3240.01060974536,6383.06915510307,12128.5036331938,0.632523171926791,0.603377687336934,0.292763423345013,0.948751891522946,0.464967708376753,1.49463511354939,0.774751052778337
G10,Cultivars,62.6414874369223,4844.25969706339,810.112790356162,1921.61040025527,1922.34832296708,5130.16853979933,12359.3932280205,0.872061217070055,0.733907210536356,0.419111923955289,1.30804017543204,0.479617650155486,3.48568938774034,0.931182392980153,786.085926381214,1913.35115633447,1913.03422798518,5396.03200658573,15656.9449634371,0.901803233822615,0.779974932675282,0.486714576601392,1.35266350497718,0.540447271038512,2.47666285268575,0.948205534349437,487.141881659376,1315.40454806275,1316.88209972887,3747.86356199478,12913.2707816808,0.927617772247984,0.810935386091302,0.543891205710748,1.39137506055931,0.58419157943127,2.24762398797958,0.962319517811285,659.273660687574,1589.62439814763,1586.63692029023,4644.32375777546,16789.848094031,0.922542075822585,0.824280752205478,0.563534369635028,1.38376985707477,0.610528731755143,1.84320413714027,0.959655198182772,650.177473222598,1407.69742896533,1423.85827683025,4535.60378591316,16946.8830769133,0.922714575849195,0.84259625861266,0.56991686420382,1.38403218370763,0.618314437505603,1.60558025378837,0.959748392955553,659.457042562181,1542.20404208928,1545.51288440044,4391.99205512527,17772.2738040527,0.925983760193818,0.838524114582172,0.599210977500212,1.38893806274011,0.648029373396442,1.71331819974799,0.961532326711146,851.329641051618,1749.12926005147,1750.45233008777,5088.54322666103,18969.1731684625,0.91280893875173,0.830159256373275,0.574667388640301,1.36918021852187,0.629464214332852,1.67364345203014,0.954382995410899,1192.92176632812,2150.88514258185,2161.81385651145,5795.43517116279,18634.3985796183,0.876847922705177,0.791847861290018,0.524125554218984,1.31524151828189,0.598091834241897,1.80144893418682,0.934303583302403,1777.65835248709,2580.22796066447,2645.26638860858,6834.67592498197,18973.7634706471,0.822031327934231,0.755073758769393,0.461175911731417,1.23301254078699,0.561007547545864,1.6592172704807,0.902259951846442,2568.94404786803,3055.06309436884,3393.11103633328,6788.42352793073,12712.53775964,0.654097061033871,0.607916994571963,0.296882615649439,0.981111130808768,0.455842680620909,1.7574278851342,0.790630364848965
G11,Cultivars,62.2320395791429,1432.7834982684,798.8070432541,1973.31621931014,1970.7023716499,5291.09045944433,12846.9624490515,0.875150881508497,0.738405555336668,0.426380150216767,1.312678338148,0.485647746531289,3.7498935160178,0.932793887129529,800.700508430422,2158.93730083239,2153.57689882331,5881.12352228735,16386.6122832563,0.902147738988996,0.770645253119715,0.476592916133029,1.35318174251092,0.524918157954521,3.05056816551634,0.948386704840422,494.392549826266,1489.17756336068,1488.02476146235,4098.32703447335,13391.3214820411,0.927016413291489,0.799419995914467,0.530271066243514,1.3904727856915,0.569993291933589,2.5391828932835,0.962005020194667,694.390376479501,1960.66379367212,1952.26360221241,5423.96375226158,17970.3533780617,0.922901390545583,0.804688623201203,0.539230294319844,1.384312846032,0.582344775708305,2.31837099483402,0.95984608871581,676.36781578503,1669.89460196371,1667.04905654851,5182.80818145604,18490.399926982,0.92665783702115,0.833509551775808,0.560158167465325,1.38994902328936,0.604804103698368,1.78610089435201,0.961845227003993,525.409515475988,1463.7045153001,1465.14585226263,4277.2757660156,18294.1384769825,0.94186167222759,0.853072440150115,0.621664328930975,1.41275173759752,0.659818694828118,1.6756711735935,0.969948418609218,661.132223369277,1596.80902659351,1598.50552713266,4825.81765383784,19386.8236706728,0.930138338380228,0.846621121348995,0.598030169226513,1.39517330066384,0.642878393049857,1.64522907970454,0.963675769405903,985.460031510635,2007.02250013188,2009.28819331329,5652.41949053101,19969.1788704251,0.905020182073281,0.816089380485475,0.556885547490728,1.35750072501001,0.615634061519119,1.76324921279491,0.949831527682662,1286.34868653733,2226.57416041659,2238.14440017481,6381.08857674316,20368.9264267224,0.884548493436769,0.806296927717591,0.532295343718243,1.3267967657882,0.600760683589428,1.63144867124974,0.938021573708462,1396.58662890648,2051.49912672615,2055.93232323648,5321.51497032129,12697.9843948228,0.807235245555607,0.729922295463362,0.424524496202484,1.21080372127492,0.51846083289692,1.81423146639015,0.891563065054217
G12,Cultivars,64.6887267258193,5031.78259805429,784.78701206836,1824.7317034187,1823.98933394736,4952.52048711337,12356.6596528055,0.876204624439713,0.740653732258809,0.427298836799822,1.31425936572414,0.486290039521806,3.66621239943691,0.933523875149715,740.018036083288,1918.80911768254,1916.04047208527,5366.51042999944,15849.3690707207,0.90710947724017,0.781466223510755,0.490104205975305,1.36062192454806,0.537948135193673,2.82187177390966,0.951103715524274,483.904564998484,1305.51772913199,1298.30740801765,3708.39265660575,13147.3421580746,0.928114757046068,0.815397153610203,0.552627174502713,1.39212191384367,0.59112310524634,2.28195780609113,0.962590257704013,590.178793771157,1542.63452421847,1533.91517239959,4590.92481842031,17117.9378141823,0.931458551271854,0.83445147897801,0.576424157157772,1.39714345722607,0.615093107579368,1.87862512308239,0.96444609211476,593.178861406256,1373.99165075154,1383.65690088256,4485.75603638335,17436.8504735829,0.932042218470559,0.852889787436659,0.586648673884258,1.39802072941858,0.62880264724038,1.60120911855019,0.964788456225225,527.200702978114,1314.97973616709,1320.27370222473,3838.37003451503,17352.6392524818,0.939406542950553,0.855627658149443,0.627900962803771,1.40906640704744,0.667976787687379,1.6141993814399,0.968753837048718,651.396819006822,1439.72230979064,1450.48660139792,4345.56445511022,18287.091340479,0.929087048264982,0.852188581350524,0.606006307416435,1.39358491595503,0.653166616861766,1.5556920512841,0.963240421989702,969.377304791543,1893.57370149418,1903.31137328526,5276.42257522885,18562.6839620708,0.89973987664148,0.814932749638661,0.555994553839098,1.34957759723487,0.618612531660062,1.70327070582047,0.947317029279943,1287.40020927435,2128.30454824405,2195.62843452193,6041.14106888575,19181.5437676453,0.873463630188928,0.800908524963363,0.521136005086266,1.31016608020967,0.596850825984821,1.60860508852015,0.932753878314443,1922.28274642816,2532.9891810879,2750.08004808116,6022.91883482108,12482.6286358925,0.726549376516972,0.665495553337135,0.349589621095976,1.08978153073169,0.480777886033893,1.82148439949845,0.841674015452553
G13,Cultivars,69.6021010191721,2740.64180774008,809.447550373855,1850.64020816486,1856.40371394111,5013.73131999338,12139.9869342428,0.870514201814813,0.735495551927983,0.419662785167604,1.30571758749966,0.483281644586191,3.11527691510487,0.930286119612897,809.476114693953,2020.19105767452,2021.68129438418,5564.01706963874,15665.2453753231,0.89928825339596,0.77208789983481,0.477966543922898,1.34889272499749,0.531572498744376,2.6742520008901,0.946874995114597,494.774795865498,1487.75916138968,1492.01727119513,4111.57957358401,13291.2113758758,0.926859626580994,0.799712570334879,0.531805415321893,1.39023758959514,0.572481233988156,2.47253784481032,0.961920902176205,706.757340373875,1836.61827818189,1835.89941667395,5119.6390975538,17386.9093961962,0.920174975916719,0.810231459824078,0.5467426756744,1.38022449371229,0.595365735586934,2.07733108176012,0.958395996777784,674.486421868709,1463.98377010159,1511.65597520075,4763.44068286758,17703.4514554804,0.924292379681464,0.842188976800101,0.570602522022088,1.38639715953279,0.61974333042979,1.60728847266979,0.960595864400286,606.391522683179,1491.49759100114,1503.21444643317,4317.19461623841,18013.3673086028,0.932423358269613,0.845730294564765,0.608165488239131,1.39859702673111,0.652995713468144,1.67768875581259,0.964973731686223,816.390306704558,1682.39849138738,1711.79375687127,4913.08644042208,19072.7594980656,0.916348496880336,0.836240631907081,0.585511002137037,1.3744900791432,0.639305435458712,1.62811526011001,0.956310568754977,1226.65842601533,2341.25495271131,2356.0151215346,6096.26001443089,19954.0381578399,0.883298686089402,0.788221227052731,0.526982584496829,1.32491638279239,0.597308602873655,1.91416508269095,0.937908522620411,1660.72985544775,2577.03341506461,2626.52967777287,6933.45737748542,20165.5219325242,0.85064674018992,0.771418825831432,0.489128447253636,1.27594450433569,0.575497958912697,1.71085200596603,0.918648211357244,2150.03733810055,2850.56772758182,3074.77259680224,6492.00351123774,13508.6738131599,0.722571450827189,0.652818166643217,0.350043149674727,1.08382471951266,0.483952304753269,1.97620759489901,0.838565111050027
G14,Cultivars,60.5942481480253,4749.4937470983,801.070384336483,1791.37200528176,1802.18818623299,4961.06975680685,12819.588020376,0.87468943562707,0.747578581438825,0.435930423374976,1.31198605556071,0.50314247680022,2.71073107321775,0.932545538181294,783.344250605069,1898.70412195632,1907.08908854816,5462.48976287748,16326.2268012353,0.903596933651346,0.787624081752015,0.49692268973799403,1.35535303960522,0.552182895043515,2.2554290263216,0.949140720434616,494.876338354374,1357.47055357868,1365.36341656736,3895.49389245198,13552.4435040147,0.927118045422224,0.816340607270182,0.551480486046916,1.39062581710045,0.598456989868693,1.99487687539223,0.962059206805156,675.998748270387,1680.59109001308,1707.47909131264,4946.41739424019,17736.6734722362,0.923373560199729,0.825472624006993,0.562153255514382,1.38501870760841,0.608558016363579,1.85162706896276,0.960096676001486,708.81300719046,1567.62689576144,1595.76200780209,5032.33804377887,18451.2004398344,0.923394300629476,0.841057658889098,0.568671519316631,1.38505048795163,0.616757379616119,1.62734881417556,0.960110395784438,658.025379241443,1654.22498842627,1658.44971377305,4744.81016798551,18906.9395243137,0.931525234694177,0.840669845959661,0.599655236807146,1.39725330479737,0.643313168159008,1.72266759179741,0.964494122265795,786.05199263014,1715.14216033942,1725.85141912055,5077.95397289401,19749.2713336333,0.920937525151568,0.839963623779408,0.588745887880972,1.38137170531006,0.639836318320048,1.61795195094357,0.958773612590281,1063.4219933364,1980.57698887872,2000.55203517252,5474.55169742371,18893.8416222083,0.891849326892779,0.80891077527467,0.547899744992205,1.33774133550231,0.613970126880194,1.70613911275338,0.942636401757681,1529.41846333916,2416.35208464503,2525.3405180743,6667.07609621998,19581.6638702259,0.854514564047929,0.780244541480771,0.493194249352029,1.28174125518441,0.576822478224329,1.65784095845697,0.921226048254439,2224.42152001029,2706.94814917359,3000.37263041362,6407.89433150111,12721.130456344,0.694793212873144,0.646071019030858,0.324686766334333,1.04214915602527,0.466466892497688,1.65275167961232,0.819554539507945
G15,Cultivars,59.3659045746872,5707.68824118689,804.04264162347,1841.8258753819,1845.00473382963,5136.84217787081,12566.4058984435,0.873100266289424,0.741374496107481,0.423137296588702,1.30960065969363,0.483842540217532,3.02065065321061,0.931716444578028,781.65570177999,2000.49070589155,2001.90889631226,5748.19011882511,16229.2951050039,0.90334306990503,0.78036606930937,0.482530736979826,1.35497308487413,0.531266847884128,2.56280241242312,0.949011182117591,501.159156657879,1497.51957255783,1500.29105043924,4250.77156039359,13618.083441691,0.92633846141071,0.802498186507658,0.527949973222071,1.38945438462927,0.571915086506424,2.26377171424028,0.961649454091866,674.671487447211,1776.61088053942,1772.27424935484,5236.23605190448,17593.4992731734,0.924146791230057,0.818220173179592,0.546230369949025,1.38618089387886,0.589997056407138,2.00015306835222,0.960513208054449,694.665593457918,1621.13373830927,1623.22531732579,5182.27961418498,17864.708826298,0.923862135504353,0.835794916108006,0.553625179574318,1.38575568230287,0.59917881970092,1.69741385618623,0.96036904685133,697.790803300292,1730.3907455001,1730.99153488691,4973.83952502101,18527.4882519364,0.927409122681118,0.83102195212854,0.583026933006868,1.39108048262264,0.628773530028808,1.80983596549159,0.962312985811555,814.817155531898,1772.13272412654,1773.81286025291,5270.6175681249,19702.3668027895,0.919039085375679,0.833097194139045,0.578077871682465,1.37852520523784,0.628952422416668,1.67534618080662,0.957754549956173,1187.21019687816,2188.57787584712,2200.54723389094,5828.45742823745,19411.9219027171,0.884158285000592,0.796902550495717,0.536532408446453,1.32620585375457,0.606648577528579,1.7964183635032,0.938409037379025,1604.06677837306,2482.67296343596,2578.05681094275,6644.84657473353,19472.6368654382,0.845673138475535,0.772493062954379,0.490481286682467,1.26847764575311,0.579213499342527,1.66966910382854,0.916272982433927,2426.35607775373,2936.46366199332,3396.65970786086,6706.16697329843,12911.5674977735,0.669469419062987,0.615916988321408,0.298687987468114,1.00416850401836,0.45264870992731,1.83576740172692,0.801787956796795
G16,Cultivars,49.5391559879817,7320.22838979141,796.988773212499,1836.03525714423,1841.67932000263,5006.95139676529,12545.4590144149,0.874236819753971,0.741625239064624,0.427944496539123,1.31130472043367,0.490068663761782,3.06801824780178,0.932319471023098,798.187473563992,2036.77999141131,2034.58967113773,5643.76678902524,15982.6364905369,0.902215495113045,0.775173754825229,0.481267211684708,1.35328278003074,0.532282031492452,2.66187487410806,0.948435145162772,503.249434963208,1574.10044468146,1575.82469527148,4331.72469720204,13590.7105454596,0.926066602861284,0.79304730882568,0.51965528899374,1.38904731534742,0.563953230255088,2.45731429910828,0.961510004287207,739.127492528591,1952.05431207359,1942.80754758908,5361.67978562775,17565.7011505052,0.918828794433067,0.801736248568972,0.533320734597326,1.37820459629291,0.581009637626075,2.22577666386431,0.957672939577213,740.998532680349,1690.6631431022,1710.37443765582,5158.64048244883,17606.6775032333,0.918332574617411,0.824721122731692,0.544979978251499,1.37746024554015,0.594859233478775,1.77564238324528,0.957409625998477,800.15342596094,1988.59054037153,1988.37752991774,5494.39744759091,19089.0711724226,0.922552822309666,0.817879056685437,0.56860626523432,1.38379640499274,0.616894988936463,1.93772277075199,0.95971163982665,888.955721522024,1966.10787796175,1966.89899847725,5634.50339136743,19697.0804860187,0.914402068748449,0.821425571692546,0.565434348913961,1.3715702053571,0.618662312371756,1.77326925470344,0.95525693374661,1269.97882703529,2368.65006953567,2381.95258131567,6215.27089143745,19020.6922459051,0.874347274985742,0.77493016720639,0.502144477079247,1.31148827317362,0.577233470184963,2.0000880318542,0.932933633400255,2216.63041089087,3157.31670551474,3349.00558958911,7962.10284080065,19369.4479702404,0.787293643947539,0.720050773210601,0.41365476011358,1.1809149220694,0.527648943061409,1.77061774458458,0.88096616338961,2887.50373244475,3195.33351937112,3587.7681695715,6942.37667410066,12167.6225034178,0.611137908865843,0.577936383851346,0.265750789314531,0.916675755252173,0.440731806528183,1.55165821591811,0.758062174328953
G17,Cultivars,62.6414874369223,2518.13292522122,805.679785097271,1886.10484162627,1893.67409721921,5020.89736430715,12346.1577732655,0.872563687555966,0.735230148863308,0.4213034023197,1.30879336994532,0.483856115474884,3.31252646045264,0.931443602293558,797.798684229285,2026.30078426353,2026.84707012639,5569.52312350194,15823.7455964949,0.901529372011625,0.773289689137098,0.48098077943418,1.35225363894605,0.532865839159788,2.70741234212525,0.948063595684655,494.11435364701,1425.73159069951,1430.45866250205,3924.74504812899,13082.376681563,0.926895910463383,0.802120444383152,0.536989282650067,1.39029230759801,0.580538198890186,2.37539721626832,0.961944612688784,692.431680691381,1804.93458318974,1800.58521179243,5041.17976541166,17211.3077604166,0.921883633382169,0.81210382739939,0.551265912619921,1.38278650152652,0.597213578385727,2.07189080088362,0.959302706483261,676.482747749307,1562.36748711256,1564.52504033394,4886.55212417543,17539.1123482798,0.92412992050339,0.837722564526902,0.564899887920232,1.38615479979038,0.611678292115504,1.67414931314146,0.960506196842805,607.564845963562,1500.83266986255,1503.425938623,4354.69414054642,17728.6837562134,0.931545201658259,0.838223162287105,0.599573085012526,1.39727854609264,0.644209561255038,1.74181475298516,0.964506632072674,740.872119211872,1616.08219946531,1617.73145167164,4860.62793327052,18675.8518071839,0.921354945938158,0.835600892618064,0.581009518339894,1.3819949138139,0.631072884471623,1.66593849333979,0.958988306216158,1086.16262813173,2174.52495049603,2185.92652586814,5857.17038294882,19303.6339457614,0.891635938859043,0.795116801691302,0.530627523808421,1.33742239914426,0.595804320796054,1.92921100397377,0.942507622844896,1426.42740870801,2345.35698988761,2363.17597568368,6413.29591619195,19228.1971240961,0.858199722869829,0.781526179767421,0.499449883858525,1.28727117095514,0.582051748208726,1.7012282033384,0.923419216562095,1900.91324861252,2442.1680210794,2623.76706375339,5827.09636129327,12352.5255344351,0.728014581042636,0.668214487347768,0.359367523825445,1.09197901022887,0.491170520684801,1.75591657571694,0.841317108220535
G18,Cultivars,58.9564567169078,5221.95149764814,809.2000842273,1972.69552829245,1972.03630974382,5218.88080297787,12642.430235573,0.873448053121845,0.732497098962981,0.420161103828283,1.31012252260089,0.480365263815011,3.71253553321684,0.931908106715219,807.091375192112,2136.8468047976,2132.95117129817,5863.55750845964,16346.2840642678,0.901736119485611,0.771390926946335,0.477459125671889,1.35256363849807,0.527483325409754,2.90874943061785,0.948171776974325,496.050575717931,1490.04286159796,1489.42032116248,4109.60943958568,13429.227009081,0.926816494502085,0.800410936522915,0.532282337289465,1.3901727773213,0.574171684635089,2.44147162327531,0.961900932311002,697.063769692769,1862.84363499021,1841.00580682284,5243.57480461829,17668.956887997,0.921406891840838,0.8092214787044,0.543980082582979,1.38206973804717,0.589810712120982,2.13706702914302,0.959052006849048,646.89782078641,1528.42567305182,1520.57175788779,4838.81774417999,17639.6942236302,0.925716488713736,0.83821279155915,0.565024949158591,1.38853565137437,0.611588992476091,1.68741134213345,0.961353140302512,670.793199761834,1702.59766979906,1707.93888619475,4791.58376874493,18365.464542515,0.929457925361933,0.830713484018726,0.588422545979472,1.39414846269287,0.63342102124425,1.82635390373492,0.963401204855791,811.296564420947,1820.00479723445,1829.00986068835,5259.25134842584,19375.0216723788,0.918933987265472,0.829092759102498,0.573401387232918,1.37836746252735,0.62377501536503,1.73637171586355,0.95769916583952,1208.67306946523,2322.94773401878,2349.26834465542,6018.49801618915,19296.1874710882,0.880639730898311,0.783649474984327,0.520959841989216,1.32092726000602,0.590931622130988,1.98377832177545,0.936453449788466,1790.71899026151,2829.80388247078,2879.92906533568,7124.99150701918,19467.4112236848,0.8296779644806,0.742797095984303,0.460618977342548,1.24448838929272,0.556634777821609,1.94693871835814,0.906659349869196,2531.66930905097,3046.19768829426,3479.67018558409,6675.41339656653,12724.6266808823,0.658690065618568,0.606517668662849,0.304212389278523,0.988001150218803,0.465939093659742,1.81033583153543,0.793378812163671
